CycleCount,AxialDisplacement_mm,AxialForce_N,strain,stress_MPa,stress_MPa_mag
5,-26.6960319131613,-553.852722167969,0.44493386521935496,-0.1538479783799914,0.1538479783799914
5,-26.8629249185324,-549.672241210938,0.4477154153088733,-0.15268673366970498,0.15268673366970498
5,-27.0297080278397,-554.195251464844,0.4504951337973283,-0.1539431254069011,0.1539431254069011
5,-27.1970424801111,-557.519836425781,0.453284041335185,-0.1548666212293836,0.1548666212293836
5,-27.3623634129763,-561.803100585938,0.45603939021627166,-0.1560564168294272,0.1560564168294272
5,-27.5314096361399,-563.551818847656,0.45885682726899835,-0.1565421719021267,0.1565421719021267
5,-27.697715908289,-563.415832519531,0.4616285984714833,-0.15650439792209195,0.15650439792209195
5,-27.8652608394623,-568.470520019531,0.46442101399103836,-0.15790847778320305,0.15790847778320305
5,-28.0308034271002,-567.825378417969,0.46718005711833666,-0.15772927178276916,0.15772927178276916
5,-28.1967967748642,-567.853759765625,0.4699466129144033,-0.1577371554904514,0.1577371554904514
5,-28.3642541617155,-569.788452148438,0.472737569361925,-0.15827457004123277,0.15827457004123277
5,-28.5317655652761,-573.07421875,0.47552942608793497,-0.15918728298611112,0.15918728298611112
5,-28.6982320249081,-578.377136230469,0.47830386708180167,-0.16066031561957472,0.16066031561957472
5,-28.8651194423437,-576.822998046875,0.4810853240390617,-0.1602286105685764,0.1602286105685764
5,-29.0329344570637,-580.299926757813,0.48388224095106164,-0.1611944240993925,0.1611944240993925
5,-29.19876947999,-579.541870117188,0.4866461579998333,-0.16098385281032998,0.16098385281032998
5,-29.3654501438141,-581.885314941406,0.48942416906356834,-0.16163480970594613,0.16163480970594613
5,-29.5332055538893,-587.553405761719,0.49222009256482163,-0.16320927937825527,0.16320927937825527
5,-29.6993479132652,-590.769348144531,0.49498913188775334,-0.16410259670681418,0.16410259670681418
5,-29.8656262457371,-593.074279785156,0.49776043742895165,-0.16474285549587667,0.16474285549587667
5,-30.0320852547884,-595.669067382813,0.5005347542464733,-0.16546362982855917,0.16546362982855917
5,-30.2000641822815,-596.189270019531,0.503334403038025,-0.16560813056098084,0.16560813056098084
5,-30.3659606724977,-600.740905761719,0.5060993445416283,-0.1668724738226997,0.1668724738226997
5,-30.5328536778688,-601.613525390625,0.5088808946311467,-0.1671148681640625,0.1671148681640625
5,-30.6996870785952,-602.862243652344,0.51166145130992,-0.16746173434787331,0.16746173434787331
5,-30.8666750788689,-607.723571777344,0.5144445846478151,-0.16881210327148444,0.16881210327148444
5,-31.0333874076605,-610.643005371094,0.5172231234610083,-0.16962305704752612,0.16962305704752612
5,-31.1996731907129,-611.453979492188,0.5199945531785484,-0.16984832763671887,0.16984832763671887
5,-31.367551535368,-611.947021484375,0.5227925255894667,-0.16998528374565972,0.16998528374565972
5,-31.5344594419003,-618.865783691406,0.5255743240316717,-0.17190716213650167,0.17190716213650167
5,-31.700111925602,-621.639526367188,0.5283351987600333,-0.17267764621310777,0.17267764621310777
5,-31.8673029541969,-625.164794921875,0.5311217159032817,-0.1736568874782986,0.1736568874782986
5,-32.0338234305382,-630.141418457031,0.5338970571756366,-0.17503928290473084,0.17503928290473084
5,-32.2012677788734,-634.044921875,0.5366877963145567,-0.17612358940972223,0.17612358940972223
5,-32.3678255081177,-632.853576660156,0.5394637584686283,-0.17579266018337666,0.17579266018337666
5,-32.5357131659985,-636.678527832031,0.542261886099975,-0.17685514662000862,0.17685514662000862
5,-32.7010042965412,-640.842712402344,0.5450167382756866,-0.17801186455620666,0.17801186455620666
5,-32.8684523701668,-644.360229492188,0.54780753950278,-0.17898895263671888,0.17898895263671888
5,-33.0354049801826,-645.744079589844,0.5505900830030434,-0.17937335544162333,0.17937335544162333
5,-33.2018062472343,-653.039672851563,0.553363437453905,-0.18139990912543416,0.18139990912543416
5,-33.3690159022808,-658.812255859375,0.5561502650380133,-0.18300340440538193,0.18300340440538193
5,-33.535897731781,-656.750183105469,0.5589316288630166,-0.18243060641818581,0.18243060641818581
5,-33.7010994553566,-656.049438476563,0.5616849909226099,-0.18223595513237859,0.18223595513237859
5,-33.8694714009762,-662.040222167969,0.56449119001627,-0.1839000617133247,0.1839000617133247
5,-34.0353026986122,-664.3720703125,0.56725504497687,-0.1845477973090278,0.1845477973090278
5,-34.2017151415348,-674.154907226563,0.5700285856922467,-0.1872652520073786,0.1872652520073786
5,-34.3704596161842,-677.476928710938,0.57284099360307,-0.18818803575303833,0.18818803575303833
5,-34.5356911420822,-682.552734375,0.5755948523680366,-0.18959798177083334,0.18959798177083334
5,-34.7036644816399,-681.022888183594,0.5783944080273317,-0.18917302449544277,0.18917302449544277
5,-34.8699502646923,-688.863891601563,0.5811658377448716,-0.19135108100043416,0.19135108100043416
5,-35.036526620388,-690.763305664063,0.5839421103398,-0.19187869601779525,0.19187869601779525
5,-35.2042689919472,-695.988708496094,0.5867378165324534,-0.19333019680447056,0.19333019680447056
5,-35.3701673448086,-698.961242675781,0.5895027890801433,-0.19415590074327252,0.19415590074327252
5,-35.5367176234722,-705.3984375,0.59227862705787,-0.19594401041666668,0.19594401041666668
5,-35.7031226158142,-710.7734375,0.5950520435969033,-0.19743706597222221,0.19743706597222221
5,-35.8709953725338,-712.120910644531,0.5978499228755633,-0.1978113640679253,0.1978113640679253
5,-36.0376909375191,-716.217468261719,0.600628182291985,-0.19894929673936637,0.19894929673936637
5,-36.2043455243111,-718.528564453125,0.6034057587385183,-0.19959126790364584,0.19959126790364584
5,-36.370862275362,-725.601806640625,0.6061810379227001,-0.2015560574001736,0.2015560574001736
5,-36.5372374653816,-734.443542480469,0.60895395775636,-0.2040120951334636,0.2040120951334636
5,-36.7049798369408,-736.218322753906,0.6117496639490133,-0.20450508965386277,0.20450508965386277
5,-36.8709936738014,-740.740112304688,0.6145165612300233,-0.20576114230685777,0.20576114230685777
5,-37.0385609567165,-745.049072265625,0.6173093492786084,-0.20695807562934027,0.20695807562934027
5,-37.2050553560257,-746.067932128906,0.6200842559337617,-0.20724109225802945,0.20724109225802945
5,-37.3728424310684,-754.824768066406,0.6228807071844733,-0.2096735466851128,0.2096735466851128
5,-37.5385172665119,-757.785278320313,0.6256419544418651,-0.21049591064453138,0.21049591064453138
5,-37.7055071294308,-765.944396972656,0.6284251188238467,-0.21276233249240445,0.21276233249240445
